CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
2.44510680047702e-12,1.5071727145596012e-12,4.999343421902909e-12,5.90758356458965e-12,4.887414219747939e-12,3.1350787930955466e-12,2.5457929077627426e-12,2.0470625675845547e-12,6.319275325436338e-12,3.869787794954863e-12,5.406206405660994e-12,4.2782998139087685e-12,1.54770894826813e-11,1.999233674585285e-11,4.489055375400089e-12,4.010201006165461e-12,5.787515930563218e-12,5.360622121983961e-12,8.41682444521715e-12,6.502187695853871e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4155926592034716e-09,3.9082132516907e-09,1.9998911858371225e-08,2.448597011458339e-08,1.971242208261098e-08,1.777062344558368e-08,5.1925345202785844e-09,3.9207578986915274e-09,1.4643400432926274e-08,1.2338903533434006e-08,1.0
2.248387360967544e-12,1.598412522301197e-12,3.67230993199865e-12,5.038985134053082e-12,3.955845159574109e-12,3.0678486591782484e-12,2.3144784717691234e-12,2.1824962440109037e-12,5.478463138234816e-12,3.5014388384379455e-12,4.5373592628006276e-12,2.8705035776920762e-12,1.0340472096915561e-11,9.718592112678334e-12,2.7811389866385926e-12,2.74811531232242e-12,4.895041499909377e-12,4.192417052863455e-12,5.642429215485034e-12,5.512329447751139e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.814979000148808e-09,3.6127632823383097e-09,1.6541201764193992e-08,2.2058601988166604e-08,1.6603212861512927e-08,1.7054507769423022e-08,4.665481135443698e-09,3.6562925978878547e-09,1.2794845175208358e-08,1.1953829646628058e-08,1.0
2.3249500280347537e-12,1.4943258250077312e-12,1.4703962537747698e-12,3.12728952212754e-12,1.7631263035311293e-12,1.878056200494284e-12,2.4768148528963105e-12,2.1701495570745516e-12,3.3213414574451818e-12,2.3700774925762686e-12,4.37756153396914e-12,3.081259703979642e-12,9.90431215407906e-12,1.062987268489639e-11,2.2542520908960373e-12,2.3139844069603007e-12,4.776084147156845e-12,4.3135929009807976e-12,4.515963843894703e-12,5.408456290430588e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9742152442132043e-09,2.4738432601865047e-09,7.3371039407479045e-09,1.302879316509169e-08,7.58433697449339e-09,1.0726817585799907e-08,2.9852522989341634e-09,2.638724655937539e-09,6.4419570530415955e-09,8.674619507478731e-09,1.0
2.0364993124680688e-12,1.4141018977181222e-12,1.6264533400560536e-12,2.6513863778485956e-12,1.302709390302006e-12,1.8592171971651396e-12,2.1694804297273384e-12,2.103705479719238e-12,2.224004463517589e-12,2.434629045833005e-12,2.4310541630133273e-11,1.9078650405233384e-11,2.981849662115532e-11,3.0095238216619024e-11,2.2100569820776256e-11,2.030720454014853e-11,2.4708067099196843e-11,2.127156725509951e-11,2.6027000369788718e-11,2.4364621985312387e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905529442306325e-09,3.499163711780437e-09,7.581023808011442e-09,1.251775221479648e-08,6.085888642937819e-09,1.056998809974804e-08,3.963165275686853e-09,3.5903864120246643e-09,6.126501956341987e-09,8.921149762458096e-09,1.0
2.0370073758875896e-12,1.4365305441022407e-12,2.2789350206334843e-12,3.3726331034808674e-12,1.1439474058518636e-09,2.5250772134351212e-12,2.1104097162190048e-12,2.1155575712150216e-12,2.5098491593877937e-12,2.8787649084441874e-12,6.81598096811771e-11,6.010926237470248e-11,8.264037142815595e-11,8.433965921247135e-11,2.236743215268282e-08,6.800204901236145e-11,6.867959534471007e-11,6.538164721414589e-11,7.082318169841926e-11,7.338690120573917e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.694940478757338e-09,7.0340996312559416e-09,1.472190867382482e-08,1.9612431783703032e-08,1.5737349887072079e-06,1.651298025531914e-08,7.712718914363168e-09,7.257551410311703e-09,1.1635110426542045e-08,1.3584624486609895e-08,1.0
2.093807477449029e-12,1.1719820764900481e-12,1.5948205854484622e-12,2.3794131486911632e-12,1.062370702849579e-09,1.6322857142641057e-12,2.2509744052203713e-12,1.7828496651330024e-12,2.111205965722261e-12,2.1435171018092662e-12,5.496445704691063e-11,4.846749542455171e-11,6.414796452169191e-11,7.070848808340682e-11,1.9875418457951485e-08,5.433513397144721e-11,5.56487058775153e-11,5.3642560560967744e-11,5.233560306493999e-11,5.813266671377667e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7680069936304095e-09,5.253758269262234e-09,9.415773731534845e-09,1.4189782941468551e-08,1.5297175393752008e-06,1.1076879537483572e-08,5.842851893704325e-09,5.613751903372156e-09,7.605000789021783e-09,1.0269553793006145e-08,1.0
1.825830101339962e-12,3.6724185136440116e-11,1.4245216161843095e-12,1.5387723883925982e-12,8.748201529719149e-13,9.249328748113073e-13,2.1670763238244338e-12,5.525549893344112e-11,2.019252348230543e-12,1.5677775713034438e-12,6.028216594868556e-11,1.0953531542779427e-09,4.3799086523553457e-11,4.1281192200316095e-11,7.974422057421897e-12,1.373295463873679e-11,7.827300890670791e-11,1.6120340864144679e-09,2.3765954740288284e-11,2.027282591866781e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.425980898903604e-09,8.74946337238842e-08,5.613404031658295e-09,6.464642298675549e-09,2.5035767736441724e-09,3.5669962575019858e-09,6.820248516795199e-09,1.2718348994227395e-07,3.5756313366416642e-09,4.506074731883058e-09,1.0
1.4052962597333964e-12,3.42867439171953e-11,3.0094553940418166e-12,3.758979500885686e-12,1.5253553393105647e-12,1.985291372612467e-12,1.6803978666229751e-12,5.224566126251773e-11,2.5827000593307543e-12,2.327458872046407e-12,4.0258297756744184e-11,1.012460106729136e-09,4.5513703873044364e-11,3.035311976130592e-11,6.193528718625036e-12,1.203552576931757e-11,5.2161172854002385e-11,1.5068837738840345e-09,1.917861846312262e-11,1.5207778297435067e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.329503103097574e-09,8.309087498911005e-08,1.082333589363273e-08,1.3134154785769496e-08,6.6908783449015336e-09,8.438277668797268e-09,6.353373831728413e-09,1.215639730202853e-07,6.481758497839308e-09,6.969168150829718e-09,1.0
1.633245408247909e-12,1.199842083082065e-12,4.304674207585779e-12,6.45181769036618e-12,3.412818500521189e-12,3.585327251988438e-12,1.6799962648087713e-12,1.6032169912855795e-12,4.3881070254816815e-12,3.4611841265646957e-12,7.18596152161787e-12,3.0231376560319968e-12,1.4638865282196112e-11,1.4638290913355125e-11,4.527208611341711e-12,3.0524883764403762e-12,7.959155715884425e-12,4.824025640817623e-12,8.520597271631559e-12,4.887203137556401e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286057111656479e-09,2.7010484898593404e-09,1.436243861497246e-08,2.11656727505539e-08,1.2831637393141277e-08,1.5179370958779326e-08,4.211952154796568e-09,3.112735696253149e-09,1.1253818314931761e-08,9.70816880542394e-09,1.0
2.2838931525908477e-12,1.6956621781072964e-12,4.176561555448756e-12,7.417941957475346e-12,4.6242206428649705e-12,4.595477252690406e-12,2.3423248953997284e-12,2.317544254752992e-12,6.492058788050493e-12,3.578090201050822e-12,9.19266016870159e-12,4.573367591228693e-12,1.7162135849458225e-11,1.8643004291227222e-11,5.6635189178904855e-12,4.345804961400426e-12,1.0075839020692134e-11,7.277793141486656e-12,9.05359945079459e-12,6.392310018461473e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.879157222353481e-09,3.7773674100436354e-09,1.656793377883342e-08,2.5383962086856795e-08,1.815836900479024e-08,2.036449178930927e-08,5.724934751088674e-09,4.2223146664052075e-09,1.5493338249127236e-08,1.183523221955388e-08,1.0
