CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
7.29139745966882e-13,2.403715558310278e-12,5.805318119196203e-13,8.776002644468227e-13,2.8954949727253023e-13,6.543389748938894e-13,2.4421208334958135e-12,2.4955458423123795e-12,6.368007476597332e-13,1.6584726190275874e-12,1.001121842018895e-12,1.1694849984849945e-12,4.069974838765272e-12,4.724069464258227e-12,7.543977492435052e-13,2.7248249357650623e-12,1.6582111522068915e-12,1.1877033271311026e-12,1.1894092978210628e-12,2.2155297802345175e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.660880930568131e-10,8.659411948679589e-10,3.433456895078841e-09,4.56438514364245e-09,1.42366574033654e-09,3.558509137537662e-09,9.96358497496652e-10,8.968666447601365e-10,7.425412485136069e-10,4.365231127072649e-09,0.0
6.063211673722448e-13,1.6873469864775724e-12,4.271987819129868e-13,6.613122739102481e-13,2.7557534941240527e-13,5.117997174426998e-13,1.7403891319314491e-12,1.7485321782977642e-12,5.690866063196118e-13,1.1393249957589579e-12,1.0310398015721944e-12,1.3258477289449844e-12,2.1002250650376833e-12,4.060492639541634e-12,6.024597230406591e-13,2.0499957236698486e-12,1.8220241078486054e-12,1.3338392765355125e-12,1.236713834591031e-12,1.957133392440516e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6055595408295436e-10,7.535950939341899e-10,2.9420448589318324e-09,3.823718021948269e-09,1.2943627632107896e-09,2.8888486639713485e-09,9.577605368071367e-10,7.753075129250456e-10,6.816278252276258e-10,3.007986985989444e-09,0.0
5.774210538422634e-13,1.5847289755331715e-12,4.366760105274562e-13,4.250810827386281e-13,2.745119481078579e-13,3.607329855381227e-13,1.6663330088275745e-12,1.6546420353629638e-12,5.013404105612013e-13,9.025810193538668e-13,1.0919009821783856e-12,1.19170401733663e-12,2.081921363897764e-12,4.7164336626213355e-12,6.862822427451612e-13,1.909543172522661e-12,1.846653763172106e-12,1.2306809057706249e-12,1.4983614367180458e-12,1.7565879635555708e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.186719277853116e-10,6.56522865188374e-10,2.159077727273111e-09,2.196534683693766e-09,1.0204606564444132e-09,1.6284830635323953e-09,8.484314196294358e-10,6.791268067608045e-10,5.867207972348154e-10,1.8194078917712027e-09,0.0
4.650308953918716e-13,1.1408050681116143e-12,4.0511176979224e-13,4.695677098404068e-13,2.337831691075054e-13,3.48568404388788e-13,1.0986749323806994e-12,1.198772768467492e-12,4.327348521380891e-13,7.210303720137833e-13,1.0423353871227704e-12,1.2111968897048602e-12,1.8383508231569e-12,4.896820572049596e-12,6.2700423758969e-13,1.838083552600082e-12,1.6970521500477385e-12,1.252974997398097e-12,1.523741931892497e-12,1.781916700641401e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8612821091615053e-10,5.758213620255384e-10,1.9127853135842885e-09,1.7911967007526086e-09,8.44682960918601e-10,1.0933794691347893e-09,7.054571319537788e-10,5.971651028765923e-10,5.083877155714471e-10,1.1988903054647452e-09,0.0
5.501510863889442e-13,1.4438091809735335e-12,4.845084593685647e-13,4.986279939445057e-13,2.2349835614848993e-13,3.489263329359903e-13,1.510877841752843e-12,1.4951357853797606e-12,4.935195077044469e-13,8.175634383352e-13,7.509658614880014e-13,9.685695872058979e-13,1.3211616079757806e-12,2.1037911432128935e-12,4.265194812017728e-13,7.80637283311382e-13,1.3013668357176466e-12,1.0061066952769966e-12,8.996491773198539e-13,1.5702223750732417e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.612520992301148e-10,5.863722219641227e-10,2.2981983053813497e-09,1.45633439648627e-09,9.26982056116916e-10,9.450965420754066e-10,7.03364445464468e-10,6.069053408331709e-10,4.743364978529416e-10,1.0706176120599728e-09,0.0
5.587203447005602e-13,1.4547271260316771e-12,5.070427845298527e-13,3.9691390233385607e-13,2.3246593191799125e-13,2.9397797606109983e-13,1.6080608892358567e-12,1.4961131715074282e-12,4.722439285518951e-13,7.930745020977522e-13,1.1186118098324648e-12,1.240412467743347e-12,1.5910368287032095e-12,3.2283848888977014e-12,5.302663277417885e-13,1.1328845400956616e-12,1.8887572531875705e-12,1.2791390253023278e-12,1.3851406912994507e-12,2.0256430351926976e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6020182982155247e-10,5.555719892412919e-10,1.8817311970317135e-09,1.1095554246037083e-09,7.596098103472914e-10,7.385976366151245e-10,6.960474961073223e-10,5.710114177825957e-10,4.761046181042438e-10,8.997351358961725e-10,0.0
4.926748791903899e-13,1.1116427037804608e-12,4.596845561951892e-13,4.864578234642993e-13,1.9343558127299973e-13,3.5568915387644036e-13,1.3022483451357671e-12,1.1282790123286819e-12,3.9523115429606907e-13,7.065021686350876e-13,1.147262608916246e-12,1.3692794766392746e-12,1.7217994404593395e-12,4.285217287617378e-12,5.425106719537923e-13,1.82540059807354e-12,1.929724329008337e-12,1.4004544660627783e-12,1.4481073756760894e-12,2.1975265687829637e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7595618728909126e-10,5.784857047788463e-10,1.7297839202410614e-09,2.0232056758253595e-09,6.825604671654827e-10,1.4417444384076843e-09,6.960614710680246e-10,5.982166504162523e-10,4.851641231262096e-10,1.516519103263321e-09,0.0
5.44646644703918e-13,1.2862584829096789e-12,5.054496259961262e-13,5.960747501863025e-13,2.018346599476049e-13,4.4557443027042547e-13,1.4709829917808357e-12,1.3239349014198287e-12,4.848332289775382e-13,9.16227562305811e-13,1.0987058027550828e-12,1.3448052419499385e-12,1.7581111751098284e-12,4.209246594743168e-12,5.534504988119457e-13,1.8353685028022614e-12,1.852448842257919e-12,1.3829342637641704e-12,1.337777514424194e-12,2.067969976843397e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866402330730875e-10,6.208560736693908e-10,2.1076526588375144e-09,2.216318963893213e-09,7.76793084077731e-10,1.661615358902695e-09,7.445590885554385e-10,6.44087472230797e-10,5.060532631466357e-10,1.6508418272469317e-09,0.0
6.573110100732372e-13,1.5691653126703814e-12,5.53636113563768e-13,5.416277659562527e-13,2.5229093225518965e-13,3.674296837370423e-13,1.9298227596408465e-12,1.6406417895451247e-12,6.259016150467225e-13,8.939643306946039e-13,1.1855636167498835e-12,1.6495398008500732e-12,2.077045005302462e-12,5.2528148245862466e-12,5.892078166591171e-13,1.8932220768768585e-12,2.063794544362661e-12,1.6888608061393945e-12,1.4827750194136452e-12,2.399914515386782e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7437051454974066e-10,6.35340056697303e-10,1.9952453119474604e-09,1.927877691949768e-09,7.637780378084719e-10,1.2708276356857356e-09,7.604478239026051e-10,6.541403746718223e-10,5.039214987057578e-10,1.2621536586585066e-09,0.0
7.756715444326587e-13,1.5138616242535397e-12,5.737990754431646e-13,5.662545904471659e-13,2.60940162010638e-13,3.7739583272003233e-13,2.1345422145623636e-12,1.590123279804862e-12,6.714366782767566e-13,9.253680410342768e-13,1.1428526857051159e-12,1.435602241436358e-12,2.4443330227438654e-12,5.388542075544545e-12,5.99353403580644e-13,2.797894672455519e-12,1.898232959384123e-12,1.4749137147112355e-12,1.4280726628012986e-12,2.2011182882203903e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0658609686792537e-10,6.229358719081252e-10,1.8580932854194366e-09,2.8642306148761004e-09,7.12391817939232e-10,1.7857845510788919e-09,7.939416490243081e-10,6.469232551989303e-10,5.075091012529669e-10,2.0784966862567415e-09,0.0
5.74160815196713e-13,9.521928680095597e-13,3.9576559068444434e-13,4.165212424524404e-13,2.266351566498724e-13,3.0376587453079176e-13,1.4718835955052803e-12,1.0070833902879055e-12,4.632054959839735e-13,7.169690143758351e-13,1.0333589713279701e-12,1.132025167870749e-12,2.36442137244658e-12,4.5356193273465176e-12,6.910724937364327e-13,2.043448546354498e-12,1.637907136140154e-12,1.1596720426740598e-12,1.5298492476884441e-12,2.014751173066845e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29887492269198e-10,4.872888453057164e-10,1.4561322394289402e-09,2.1658732281853314e-09,5.594281069967986e-10,1.3555310666133151e-09,6.293773412511714e-10,5.073913251216898e-10,4.2802147521494587e-10,1.7794213935413778e-09,0.0
3.677069530380362e-13,8.06505003400131e-13,3.8872636921383216e-13,3.998317099626259e-13,2.290765925404395e-13,2.7547928182615416e-13,9.428129953932995e-13,8.486984486173115e-13,3.9865536116339143e-13,7.542889449909511e-13,9.843434733083201e-13,1.1529367798212768e-12,2.200272296390496e-12,4.383830472979692e-12,6.385563555774333e-13,2.2951101673787856e-12,1.56081349259619e-12,1.1651227649713012e-12,1.490712670925697e-12,1.8510616024449037e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.887982789500485e-10,4.61949005537718e-10,1.335503477818296e-09,2.059932075509732e-09,4.820097385058328e-10,1.3793918473118106e-09,5.481986354475658e-10,4.770486854268215e-10,4.0257141020340217e-10,1.738344042168782e-09,0.0
4.846035002083437e-13,1.38162349642977e-12,4.804384527183672e-13,5.978461585739435e-13,2.0723245555909504e-13,3.270238315535251e-13,1.4581992799747502e-12,1.4390279884042076e-12,4.978155437908409e-13,1.095953951277712e-12,1.1768495499226694e-12,1.362688275251734e-12,2.3025916346425877e-12,6.87715833525591e-12,4.847175348673715e-13,3.4141812235160475e-12,1.9977636700383884e-12,1.3903994106945926e-12,1.4224084487771162e-12,2.1460251716391393e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.746162207207954e-10,6.046862481323806e-10,1.785003507944299e-09,3.880657787297323e-09,5.936173767434807e-10,2.4143912982005467e-09,7.261612761810909e-10,6.26612670385031e-10,4.5964753421065286e-10,2.867593738961264e-09,0.0
